title,date,time,venue,url,description,rating,duration
BLUE VELVET,15/1,19:00,Centro Cultural Munro,https://lumiton.ar/evento/blue-velvet/,"A cuarenta años de Blue Velvet, la película sigue demostrando cómo un mismo objeto —una tela, una canción, un gesto—…",,
¡FU-FU Y CHUCU CHUCU CHUCU!: HIJITUS VUELA OTRA VEZ - Programa 1,18/1,17:00,Centro Cultural Munro,https://lumiton.ar/evento/fu-fu-y-chucu-chucu-chucu-hijitus-vuela-otra-vez-programa-1/,"El Puerto, Robo al Banco, La Trompada Tramposa, El Abuelito Tuerca, El Boxitracio La primera hermosa temporada de Las aventuras…",,
FINDE,18/1,19:00,Centro Cultural Munro,https://lumiton.ar/evento/finde-2/,La película de Papu Curotto con guión de Malena Pichot y Julián Lucero observa con cercanía cómo una pareja se…,,
PSICOSIS,22/1,19:00,Centro Cultural Munro,https://lumiton.ar/evento/psicosis-psycho-6-2/,El clásico más clásico de Hitchcock sigue resultando inquietante por la forma en que desarma nuestras expectativas y nos obliga…,,
¡FU-FU Y CHUCU CHUCU CHUCU!: HIJITUS VUELA OTRA VEZ - Programa 2,25/1,17:00,Centro Cultural Munro,https://lumiton.ar/evento/fu-fu-y-chucu-chucu-chucu-hijitus-vuela-otra-vez-programa-2/,"El Portaaviones Atómico, Botines goleadores, Peligro en el Volcán Curados por su nieto, Julio Fermepin, en esta segunda tarde de…",,
PLAGA ZOMBIE,25/1,19:00,Centro Cultural Munro,https://lumiton.ar/evento/plaga-zombie/,La Tierra está siendo objeto de una devastadora invasión extraterrestre. Los alienígenas han infectado a gran parte de la población…,,
EL MONSTRUO DE LA LAGUNA NEGRA,29/1,19:00,Centro Cultural Munro,https://lumiton.ar/evento/el-monstruo-de-la-laguna-negra-2/,"La criatura anfibia de Jack Arnold, campeón acuático de los monstruos de la Universal, combina mito, romance, terror y una…",,
¡FU-FU Y CHUCU CHUCU CHUCU!: HIJITUS VUELA OTRA VEZ - Programa 3,1/2,17:00,Centro Cultural Munro,https://lumiton.ar/evento/fu-fu-y-chucu-chucu-chucu-hijitus-vuela-otra-vez-programa-3/,"Papucho en Bancarrota, La Vecinita de Enfrente, El Espejo Multiplicador Siguen las aventuras en Trulalá y ahora llegan tres clásicos…",,
OTRA PELÍCULA MALDITA,1/2,19:00,Centro Cultural Munro,https://lumiton.ar/evento/otra-pelicula-maldita-2/,"Historia del cine de terror argentino, desde sus inicios en 1934 hasta la actualidad. Es un camino de derrotas, calles…",,
DRÁCULA,5/2,19:00,Centro Cultural Munro,https://lumiton.ar/evento/dracula-3/,"El vampiro de Tod Browning, con la presencia hipnótica de Bela Lugosi, sigue siendo la imagen definitiva del mito gracias…",,
¡FU-FU Y CHUCU CHUCU CHUCU!: HIJITUS VUELA OTRA VEZ - Programa 4,8/2,17:00,Centro Cultural Munro,https://lumiton.ar/evento/fu-fu-y-chucu-chucu-chucu-hijitus-vuela-otra-vez-programa-4/,"El Boxitracio, Barrilito de Cerveza, El Gato Chimenea Un programa de episodios clásicos de Las aventuras de Hijitus, donde se…",,
UNA LUZ EN LA VENTANA,8/2,19:00,Centro Cultural Munro,https://lumiton.ar/evento/una-luz-en-la-ventana/,Gracias al trabajo de Archivo Lumiton se remasterizó digitalmente el primer film de terror argentino Una luz en la ventana…,,
FRANKENSTEIN,12/2,19:00,Centro Cultural Munro,https://lumiton.ar/evento/frankenstein-2/,"La versión de James Whale, con Boris Karloff, convirtió a la criatura en un símbolo trágico y monstruoso: un eterno…",,
EL GIGANTE EGOÍSTA,15/2,17:00,Centro Cultural Munro,https://lumiton.ar/evento/el-gigante-egoista/,"En la adaptación de Liliana Romero, el clásico de Wilde se vuelve un cuento norteño donde los colores, los tejidos…",,
VERANO TRIPPIN,15/2,19:00,Centro Cultural Munro,https://lumiton.ar/evento/verano-trippin/,"Un verano frío en la Patagonia. Toni y Lena, amigas inseparables, sueñan con escapar de la monotonía del pueblo y…",,
EL RESPLANDOR,19/2,19:00,Centro Cultural Munro,https://lumiton.ar/evento/el-resplandor-3/,Kubrick transforma la novela de Stephen King en un laberinto psicológico donde cada pasillo parece respirar y donde cada puerta…,,
EL PATALARGA,22/2,17:00,Centro Cultural Munro,https://lumiton.ar/evento/el-patalarga/,"La ópera prima de Mercedes Moreira propone una animación que combina voces reales, trazos de marioneta y collages fotográficos para…",,
CUANDO ACECHA LA MALDAD,22/2,19:00,Centro Cultural Munro,https://lumiton.ar/evento/cuando-acecha-la-maldad-8/,"Un hombre es encarnado por un demonio en la ruralidad de un pueblo perdido, lejos de las grandes ciudades. Dos…",,
LOS PÁJAROS,26/2,19:00,Centro Cultural Munro,https://lumiton.ar/evento/los-pajaros/,Hitchcock convierte un ataque inexplicable de aves en una lección de cómo construir terror a partir de lo cotidiano. Otra…,,
EL SUSURRO,15/2,19:00,Centro Cultural Munro,https://lumiton.ar/evento/el-susurro/,"El susurro, dirigida por Gustavo Hernández, combina vampiros, drama familiar y thriller criminal en una historia donde Hernández logra una…",,
ROBOT SALVAJE,1/3,16:30,Centro Cultural Munro,https://lumiton.ar/evento/robot-salvaje/,Peter Brown creó un libro único: un robot que comienza a establecer un vínculo maternal con una criatura del bosque.…,,
CUANDO HARRY CONOCIÓ A SALLY,1/3,18:30,Centro Cultural Munro,https://lumiton.ar/evento/cuando-harry-conoci-a-sally/,"La comedia romántica tiene aquí su mejor orgasmo: una película feliz, realista, soñadora y capaz de enamorar una y otra…",,
LOS CABALLEROS LAS PREFIEREN RUBIAS,5/3,18:30,Centro Cultural Munro,https://lumiton.ar/evento/los-caballeros-las-prefieren-rubias/,"En Los caballeros las prefieren rubias, Marilyn Monroe brilla como Lorelei Lee, una mujer que parece inocente pero maneja cada…",,
LA COMEZÓN DEL SÉPTIMO AÑO,12/3,18:30,Centro Cultural Munro,https://lumiton.ar/evento/la-comezon-del-septimo-anio/,"En La comezón del séptimo año, Marilyn Monroe se convierte en el imán absoluto de la película, eclipsando incluso al…",,
EL GIGANTE DE HIERRO,15/3,16:30,Centro Cultural Munro,https://lumiton.ar/evento/el-gigante-de-hierro/,"La maravilla de Brad Bird (Los Increíbles) tiene demasiadas cosas buenas: un robot colosal, un niño pérdido, un mundo de…",,
CUENTA CONMIGO,15/3,18:30,Centro Cultural Munro,https://lumiton.ar/evento/cuenta-conmigo/,"40 años después, la película que comenzó basada en una historia corta, sentida y personal de Stephen King se ha…",,
CÓMO PESCAR A UN MILLONARIO,19/3,18:30,Centro Cultural Munro,https://lumiton.ar/evento/cmo-pescar-a-un-millonario/,"En Cómo pescar a un millonario, Marilyn Monroe construye a Pola Debevoise con una mezcla de gracia desarmante y astucia…",,
ASTROBOY,22/3,16:30,Centro Cultural Munro,https://lumiton.ar/evento/astroboy/,"Astroboy, el niño robot superhéroe, volvía. Y lo hacía con una película enamorada del Santo Patrono del Manga, Osamu Tezuka,…",,
LA PRINCESA PROMETIDA,22/3,18:30,Centro Cultural Munro,https://lumiton.ar/evento/la-princesa-prometida/,"“Hola, me llamo Íñigo Montoya, tú mataste a mi padre, prepárate a morir”: una de esas frases de la historia…",,
UNA EVA Y DOS ADANES,26/3,18:30,Centro Cultural Munro,https://lumiton.ar/evento/una-eva-y-dos-adanes/,"En Una Eva y dos Adanes, Marilyn Monroe no solo interpreta a Sugar Kane, la ingenua música a la deriva,…",,
WALL-E,29/3,16:30,Centro Cultural Munro,https://lumiton.ar/evento/wall-e/,"Wall-E es uno de los objetos más extraños y felizmente salvajes de Pixar: su comienzo, casi media hora de cine…",,
ESTO ES SPINAL TAP,29/3,18:30,Centro Cultural Munro,https://lumiton.ar/evento/esto-es-spinal-tap/,¿Les gusta The Office?¿Mucho? Bienvenido a la Escuela de Rock del falso documental absurdo y cómico y bienvenidos al rock…,,
EL RESPLANDOR,6/3,19:00,Centro Cultural Munro,https://lumiton.ar/evento/el-resplandor-3/,Kubrick transforma la novela de Stephen King en un laberinto psicológico donde cada pasillo parece respirar y donde cada puerta…,,
